DateID;CustomerID;TotalTimeWatched;Platform;PlayEventType;VideoTitle;TotalTimeWatched_Hours;DayOfWeekName
2021/02/04;BCNEEX7JGIYW2A0F7AQWLZB6001N;420;Leanback;LiveTV;UFC Fight Night: Chiesa v Magny;7;Thursday
2021/02/07;GIDP44AX4BSLG7GIK2QSHUBS005G;5220;Leanback;LiveTV;Unknown;87;Sunday
2021/02/08;36GEE1JME2MYKFZUK2RN0C1S002Q;2425;iOS;LiveTV;Megalodon;40.416666666666664;Monday
2021/02/08;KB8CHCRU50Y454Y4L46XEPQ20046;480;Android;LiveTV;Unknown;8;Monday
2021/02/08;6RJD44836YLG82JKHUN841930022;1320;Android;Catch Up;Gomora;22;Monday
2021/01/26;D0785AJEK4OFDM0WFP6ELYSQ0015;2220;Leanback;LiveTV;Unknown;37;Tuesday
2021/01/28;HPQACFHAKTXR7XDY4NMW4QIU0042;60;Android;Catch Up;Power Rangers Beast Morphers;1;Thursday
2021/01/29;0UK7J708F1A3J1EUKBG2FS2D000X;120;Leanback;LiveTV;Abu Dhabi T10 '21: DC v TA;2;Friday
2021/01/29;9CQP1WGUKE35F1YBLM02D52H000S;1320;Leanback;Other;Skeem Saam;22;Friday
2021/01/30;GL1KMCXWHXLDM0FI5LMV5DQZ0051;480;Leanback;LiveTV;Grave Secrets;8;Saturday
2021/01/31;BBDDBE52HO8S2BUNJETN8L3V0064;4380;Web;LiveTV;Unknown;73;Sunday
2021/02/03;1ZENCLN498R2DE05CGM994JY004B;11160;Leanback;LiveTV;Unknown;186;Wednesday
2021/02/03;D9GKEJ0WEUX6LS3SJYIT5IUL001V;864;Leanback;LiveTV;Waking Up With Nature;14.4;Wednesday
2021/02/04;290T4PTDC899LVVW5QC2JAMG002N;181;Web;LiveTV;Lit 10;3.0166666666666666;Thursday
2021/02/05;36GEE1JME2MYKFZUK2RN0C1S002Q;6699;iOS;LiveTV;Lone Survivor;111.65;Friday
2021/02/05;JLP8HMRSERRT7SHE2L7V8177004S;2129;iOS;Catch Up;Ordinary Love;35.483333333333334;Friday
2021/02/05;CKZZ1KBUKHAZ6K851Y205XSW004E;600;Android;Catch Up;Paw Patrol;10;Friday
2021/02/06;FD7U0XYID71PAOR38LFP0GJR0013;1080;Leanback;LiveTV;PL 20/21: Fulham v West Ham;18;Saturday
2021/02/06;KN42BQKA57DYKED96YC6FB3E002E;5277;Leanback;LiveTV;PL 20/21: Man Utd v Everton;87.95;Saturday
2021/02/07;D0785AJEK4OFDM0WFP6ELYSQ0015;5531;Leanback;Catch Up;Vrou Soek Boer;92.18333333333334;Sunday
2021/02/07;290T4PTDC899LVVW5QC2JAMG002N;18;Web;LiveTV;The Agenda;0.3;Sunday
2021/02/08;3YD670SYEC196D8VH1EQ7AW6000W;4920;Leanback;LiveTV;Unknown;82;Monday
2021/01/25;D0785AJEK4OFDM0WFP6ELYSQ0015;9780;Leanback;LiveTV;Unknown;163;Monday
2021/01/25;2B583A5KE8YOG8ZJD63Y46LN001N;1200;Web;LiveTV;Top Ten: Mzansi Hits;20;Monday
